id;player_id;tournament_id;course_id;hole_1;hole_2;hole_3;hole_4;hole_5;hole_6;hole_7;hole_8;hole_9;hole_10;hole_11;hole_12;hole_13;hole_14;hole_15;hole_16;hole_17;hole_18
1;25813;85798;65673;903;32519;58841;77347;59871;13087;39665;96982;23702;45378;23467;23605;88370;7349;44202;16975;33088;51977
2;44877;33700;66939;82888;14575;43088;44943;24871;58788;61714;94858;70677;25252;16704;35925;16761;37935;3667;60553;73640;35673
3;66380;53351;47463;78179;84417;70538;80567;44636;58535;86421;86827;55814;20584;53990;11191;3418;26974;98669;5708;12297;53116
4;23113;93660;5169;3934;64000;12210;22470;45219;18001;93387;8855;31615;10330;50723;58467;4157;68820;14834;39737;98663;47989
5;96511;68596;493;1737;95181;32313;63911;97309;86791;58011;45473;25422;51559;52173;48884;34265;66686;53224;13965;12574;2997
6;13271;30792;14354;70468;93981;20185;73289;67343;16238;96991;18834;9390;73082;67260;15616;44375;23456;86814;96334;17714;25530
7;69262;66163;83811;97863;94461;37429;68324;1751;49717;24414;61784;83087;86890;86460;57060;76851;3038;11310;93094;79551;68952
8;91867;67651;60060;21567;94087;65888;82683;39386;66697;65123;57718;10659;34857;65784;15928;99941;60495;4821;31811;97717;86643
9;40690;99333;87075;75242;78238;9048;56701;28868;73844;10910;87851;65051;40414;76519;32703;92567;66759;43817;80784;90137;76228
10;87789;79781;31719;43558;86890;81783;37567;12020;29686;54448;64907;575;32838;32458;63020;36646;60983;39617;56343;69546;38041
