id;name;par;yardage;city;state;course_type;green_type;hole_1_par;hole_1_yardage;hole_1_handicap;hole_2_par;hole_2_yardage;hole_2_handicap;hole_3_par;hole_3_yardage;hole_3_handicap;hole_4_par;hole_4_yardage;hole_4_handicap;hole_5_par;hole_5_yardage;hole_5_handicap;hole_6_par;hole_6_yardage;hole_6_handicap;hole_7_par;hole_7_yardage;hole_7_handicap;hole_8_par;hole_8_yardage;hole_8_handicap;hole_9_par;hole_9_yardage;hole_9_handicap;hole_10_par;hole_10_yardage;hole_10_handicap;hole_11_par;hole_11_yardage;hole_11_handicap;hole_12_par;hole_12_yardage;hole_12_handicap;hole_13_par;hole_13_yardage;hole_13_handicap;hole_14_par;hole_14_yardage;hole_14_handicap;hole_15_par;hole_15_yardage;hole_15_handicap;hole_16_par;hole_16_yardage;hole_16_handicap;hole_17_par;hole_17_yardage;hole_17_handicap;hole_18_par;hole_18_yardage;hole_18_handicap
1;program Stravenue;87417;84332;South Brandynborough;haptic;Bedfordshire transmitting;XML Bridge;7569;40973;38782;64777;80353;1550;90177;28088;20347;20795;6697;4198;87735;47926;38940;18172;54176;74308;96806;84792;6656;54558;64831;98170;7410;45047;37546;51336;80381;98921;43347;23154;99718;94254;55905;4283;32116;44638;22011;7000;35052;72923;37253;60840;6871;70663;36957;37448;46423;36948;72273;4531;65672;34994
2;Solutions architect quantifying;84232;48398;North Lonny;Licensed Awesome Ergonomic Rubber Cheese;Nevada haptic;wireless Denar hack;1462;67115;20724;62047;71323;74225;38662;16988;66248;19497;34696;89040;39075;74997;15867;90822;25823;75871;60541;59715;43316;65413;77430;88912;85258;57880;54164;63239;75826;15647;30690;47392;41497;71639;71277;27094;38621;20225;58850;31382;18537;24150;59977;21491;86151;42485;86863;90783;72434;50705;74575;18792;55792;7697
3;Belarussian Ruble deploy;82183;45077;Veronafort;intermediate Pataca;invoice;deposit interface solution-oriented;19092;46311;69464;27845;21871;65470;59530;82376;26463;6314;66196;77679;81493;82164;77802;46152;76085;98330;18772;78670;8838;77366;69894;74783;36834;15060;43234;21723;3114;46399;25957;26400;3367;41524;87918;88846;24339;82432;55733;63003;3897;85812;66684;78377;32302;42898;89791;20106;88811;51420;32529;73622;90096;43641
4;Hryvnia Refined compress;81271;57670;Annamaeshire;parsing;task-force transmit wireless;Industrial Forest Arizona;30403;41119;31810;13008;96115;2242;89171;36042;84917;78373;40601;56618;1369;31277;8022;65434;31219;23201;1574;1438;1714;76435;91660;62374;70615;76230;30895;3893;13264;83711;51163;61952;534;56339;93841;62461;41481;86443;40233;58693;39059;58095;6932;99067;63832;75673;73300;44229;67612;70739;13843;38923;57884;22887
5;Auto Loan Account Markets;92913;37148;New Julien;turquoise Architect;Borders SAS Road;Home Loan Account Tasty Granite Bacon Indian Rupee Ngultrum;67753;86364;37312;11006;94169;92504;16735;63164;50035;5439;69088;64425;69713;97424;64863;6980;27528;55468;15620;74779;63594;81025;59930;41382;17935;20416;70513;4234;45517;57972;66776;45291;83736;94874;16972;6060;1914;68539;77910;2496;60969;17143;69963;45357;83815;45487;80281;68570;96092;91021;53593;63903;48849;95353
6;GB New Hampshire;83379;27701;Thelmaton;pixel Fantastic;Handcrafted Steel Car communities;Investor;61631;88097;24628;88291;69067;65904;59677;21123;50157;86299;97618;88609;68345;19665;37544;73742;80007;28651;88458;80264;12522;99723;20055;3002;21622;89736;69121;62263;60303;97338;61899;46500;94077;84738;77591;6239;12793;33527;34750;6701;43539;97534;39596;81697;66930;85254;89189;93796;30605;8510;55187;38559;78940;7103
7;mint green Multi-layered;46910;5522;Port Baron;Table;Virgin Islands, British;hack Executive synergies;27836;15557;79829;20727;32625;63058;29938;21970;23250;2052;12967;82661;25646;36559;35531;35369;67399;30247;6256;97537;21050;17011;80902;89823;14692;77680;34264;7647;86465;98672;15492;27136;8273;9858;48453;82931;30241;70667;56340;61721;80380;15598;13714;47849;58069;78055;50550;30362;14407;31168;62399;314;27364;17424
8;SDD vortals;98423;30646;Lake Michale;full-range;Expressway array;Norway Consultant;66420;86220;19924;31387;4496;53802;12635;84010;56255;98945;76516;88951;94041;37146;1582;19516;52276;48939;47086;74164;65605;49256;55957;48318;68703;83823;65808;36140;11701;85979;79971;40680;12323;32823;69853;45398;41614;76244;51385;12600;90329;19641;88988;95144;81785;17549;51014;56772;73623;57931;51289;48962;86960;64474
9;Virtual Ukraine;37217;74160;Dustinland;Texas;Ball;tan Shirt programming;28570;60385;92712;57661;96992;55876;57126;37116;14300;78564;37454;25279;79773;93889;36739;89398;8701;33748;55678;72946;84512;57322;79592;33764;17512;98852;67276;2523;22050;25264;21820;52007;87407;52195;24966;58893;26324;75167;65;62347;87066;60028;79259;5351;62732;37653;75026;23205;15204;26537;45832;55433;35121;19950
10;human-resource;23708;92073;Batzside;Savings Account;Seamless Customer Avenue;input Swiss Franc;61525;48726;76042;42998;51292;59691;70408;99955;93517;76944;37580;39786;70812;82755;47568;17070;67439;3046;76289;20444;4545;34041;64660;51058;22674;61512;67003;91060;46833;50985;77355;50127;12340;5024;62632;3491;27847;55115;85298;43817;92838;83918;99639;16067;79600;2497;75373;44903;21550;23747;33600;4961;46568;72459
