id;player_id;tournament_id;course_id;hole_1;hole_2;hole_3;hole_4;hole_5;hole_6;hole_7;hole_8;hole_9;hole_10;hole_11;hole_12;hole_13;hole_14;hole_15;hole_16;hole_17;hole_18
1;38855;54849;44869;59648;23754;54568;37325;44441;22726;1466;7319;58706;60344;16844;66821;64257;61949;75934;46349;50044;37978
2;54236;86333;95147;51908;84716;47918;91423;2564;81376;34124;10891;38019;14899;39882;52662;58017;24606;53360;47669;60790;39436
3;76488;54941;81298;74687;71812;71549;95552;52123;1823;82239;19577;43086;756;89671;64747;7128;89803;95466;24348;65469;92703
4;38007;6026;19715;93443;47918;35162;19455;10142;16633;48587;61735;25677;52308;28487;67009;30728;92960;80302;53226;53916;58093
5;31130;8962;61033;71763;71615;39990;27262;97672;41354;82317;12188;52248;18114;12322;68111;85941;18143;79978;52516;18458;70904
6;29527;10687;79340;56731;18522;25656;91775;96292;42452;48354;8703;80599;81574;55022;37350;4341;52649;63315;11230;95140;258
7;60161;63798;81918;51517;88420;59353;22807;79374;21204;64660;61098;17477;41102;36077;83986;90589;90002;76994;35342;55663;23687
8;25564;78052;30206;27480;73195;82261;85117;42373;67142;66754;80952;9553;76665;62385;14970;45176;42394;58660;15298;16801;23523
9;73687;86925;86279;47289;21673;53535;9571;17844;2363;31227;64197;23024;60709;20618;54669;63796;23194;25688;39090;63201;59447
10;5845;49676;14177;98778;27454;13643;59704;69514;67584;40431;44271;42819;44579;71759;72451;69243;1582;99125;34109;12839;81870
