id;player_id;tournament_id;course_id;hole_1;hole_2;hole_3;hole_4;hole_5;hole_6;hole_7;hole_8;hole_9;hole_10;hole_11;hole_12;hole_13;hole_14;hole_15;hole_16;hole_17;hole_18
1;10410;60321;72433;33722;57838;90552;27416;77262;7941;26489;8565;64528;89419;59575;19186;40118;32337;36695;22665;34356;35499
2;61715;6942;44240;51905;83186;6761;66960;80035;6993;23371;64016;54001;27114;88007;59281;65087;68013;53295;23082;32433;45685
3;33300;19032;66948;5233;99413;37847;66183;36294;55778;99548;73065;44635;46520;33356;6014;58047;56229;8876;95762;96166;17530
4;63496;69000;75483;20093;17047;53582;40947;9667;42268;45037;82180;75616;123;34757;30085;66491;98123;79544;47488;92717;38252
5;23464;11982;39931;97416;15241;2002;99248;73718;92700;76859;53995;24365;84203;67155;52095;9292;62358;25704;8912;78790;75527
6;86468;12771;60848;82606;50683;78202;15930;70874;6310;3616;11764;30312;22735;26311;34167;36013;38090;8764;34632;93695;23905
7;55380;50972;30552;82528;39698;27970;44720;94238;60059;87333;51567;16176;91939;78627;49696;57458;99215;56657;85142;39104;20851
8;50115;93059;39717;11636;53973;81744;62795;38062;67430;87797;53248;86805;72142;80592;14127;79003;21198;30467;81873;8091;32252
9;40298;2289;17352;15379;69495;22361;34609;95732;97561;57304;64097;93273;82248;57516;13252;47935;86201;31372;92275;60637;48706
10;13919;60625;89826;76480;82933;17483;31753;50256;95279;39866;82520;14637;66630;36753;12176;6817;47823;2581;50610;13516;23255
