id;player_id;tournament_id;course_id;hole_1;hole_2;hole_3;hole_4;hole_5;hole_6;hole_7;hole_8;hole_9;hole_10;hole_11;hole_12;hole_13;hole_14;hole_15;hole_16;hole_17;hole_18
1;96311;7996;54952;77672;96582;12203;43249;59429;31181;93644;50614;87610;43951;27775;10566;85144;64082;33;21603;1768;61958
2;60255;65020;36479;15202;38646;6134;56444;78076;19178;45980;21175;5816;48460;99486;75425;5778;61949;69503;29735;98367;43033
3;23918;17066;14224;7462;12138;78269;30327;26538;10104;17776;69216;69161;6229;61805;50942;63318;99669;22889;81397;23264;61521
4;22080;30625;17375;62389;65572;52704;84801;42608;72431;13071;79209;88660;40479;44978;65407;19462;35423;36775;52550;41412;48163
5;82753;17688;73361;38707;76930;96382;1103;24858;41615;13380;48134;41858;1919;79033;25981;58214;76028;68097;13710;18969;53531
6;61894;21520;32350;1212;83430;24120;62929;97587;19885;80153;6461;95957;4263;48785;37140;10973;26585;54795;64609;45437;49933
7;84435;26601;9808;14923;48824;12719;15004;86466;32467;24347;73735;65171;47601;81068;37588;61408;39447;85956;45944;39239;78501
8;95622;89208;13314;95533;10214;78690;65869;31540;94283;68813;80888;43760;7641;25467;27936;84087;93031;3842;25305;90176;78117
9;46147;82513;63720;49545;65935;38634;89511;45012;63666;22696;61393;88939;6665;45061;51840;88245;15016;10569;73743;98827;51222
10;44327;68022;4783;4167;3802;8479;74620;71632;65903;7208;80213;7125;10536;1210;3557;95650;50857;73750;38759;35325;46194
