id;player_id;tournament_id;course_id;hole_1;hole_2;hole_3;hole_4;hole_5;hole_6;hole_7;hole_8;hole_9;hole_10;hole_11;hole_12;hole_13;hole_14;hole_15;hole_16;hole_17;hole_18
1;14249;1836;49888;48235;61815;21034;70246;34601;55964;77580;977;94123;32646;7241;51771;53424;8786;88253;35062;8250;3320
2;82451;7857;35780;39692;32209;13271;97746;56754;20085;68946;69319;80058;82144;20015;4118;16748;67038;10456;95154;63643;12421
3;70647;89622;3158;59477;93621;61660;5197;61294;54129;29883;70906;93520;87096;94735;71408;62530;80172;78342;33945;61225;81482
4;48439;8011;66082;89481;55300;54759;59747;81729;78383;45231;48090;64357;4075;52640;16399;73158;43860;8162;72482;6035;59327
5;24710;65029;15954;47927;87178;61574;21921;32901;97586;47018;33689;74427;18211;87183;78969;43365;65870;4366;49819;16167;55536
6;2086;71920;65326;22845;33231;99633;54247;97479;49327;65032;8152;19954;40326;68022;22056;7219;41839;3065;20357;25768;84045
7;46262;17419;86827;96078;72716;41590;74270;84624;42549;62876;34593;73535;37103;76772;98764;50484;4010;54330;86703;51399;57867
8;58805;43861;2939;72525;39551;48666;60618;87342;59772;90070;79295;42172;65500;27682;99213;59235;28385;91236;35915;21066;38384
9;62296;46581;63156;83599;73311;23579;13156;77600;71582;40531;90903;60185;17968;63254;23754;37284;97139;51261;18097;41303;85438
10;6913;49227;43716;24723;9739;87074;40502;44530;59291;51481;57941;35923;66262;59295;9526;16352;65212;39108;31214;96941;39904
