id;player_id;tournament_id;course_id;hole_1;hole_2;hole_3;hole_4;hole_5;hole_6;hole_7;hole_8;hole_9;hole_10;hole_11;hole_12;hole_13;hole_14;hole_15;hole_16;hole_17;hole_18
1;87733;69578;25794;22855;65998;17495;81722;98216;55520;51663;52965;26082;24185;99625;9310;96541;89721;55829;90041;88263;63310
2;18870;33902;27887;34920;70035;72595;84666;89711;85632;88708;40450;77987;88777;64203;85092;8413;93563;16162;78534;89855;66898
3;60642;58068;919;37228;10147;94013;66350;97366;506;28392;16080;30536;54873;48561;69189;44842;65196;99445;22426;17592;71217
4;1807;23724;49389;32539;17882;74649;36646;64963;74417;84922;72093;65761;30806;56830;54254;9367;50881;36771;63633;26520;25046
5;24398;58987;97301;97889;39309;48674;89204;90609;63113;43439;79481;35007;50263;64510;57690;66892;49251;86416;19524;23018;72245
6;49919;28077;57200;2431;76855;64547;4360;17711;99455;94045;46994;95392;27956;91486;88349;37015;74771;1545;95307;92831;33075
7;42818;55276;96665;57229;96361;98033;85300;7534;29444;30569;38509;19091;85113;26847;31692;48527;16949;37268;55680;39469;93615
8;84421;69602;93001;57006;7041;9717;20891;61500;67114;99005;35864;14008;25416;51832;29529;87737;32255;74076;84866;69701;13662
9;70248;70891;35949;55281;29359;29651;80936;41978;81011;25620;86707;61151;91324;8159;51134;518;50151;62789;79829;19427;64996
10;7094;70196;39678;79579;5076;89000;88661;33799;2761;37558;57886;9398;43847;57828;67202;3594;32815;46559;15504;54264;98184
