id;player_id;tournament_id;course_id;hole_1;hole_2;hole_3;hole_4;hole_5;hole_6;hole_7;hole_8;hole_9;hole_10;hole_11;hole_12;hole_13;hole_14;hole_15;hole_16;hole_17;hole_18
1;35462;29700;28723;85282;29630;71555;23360;58910;4209;27726;1787;91033;98772;4510;42777;10946;38432;39163;67964;12443;21825
2;95641;94996;79798;78634;25898;8941;58855;41758;98233;87911;88419;94473;60079;46740;90372;61341;98918;16703;74335;99116;6498
3;23167;40158;94273;83782;64964;23056;60773;83064;51268;12033;23066;4694;17652;38409;22048;3673;18643;95727;77958;82620;35012
4;80076;5784;62977;96910;21632;88378;51826;92775;59727;99490;52503;17389;26023;39624;51524;75823;49118;69602;99633;15389;89743
5;81583;46338;22444;62293;22381;74787;53697;3486;59293;89492;58008;86012;9148;45743;87746;39116;26560;27295;12951;47667;88874
6;4437;95565;85219;86212;3542;80951;32905;65524;93158;55085;73521;8698;28139;40845;25264;37268;508;25975;69571;72342;4878
7;49587;53260;8104;96212;22018;10946;68325;89447;7613;99147;85120;6151;49514;88290;48058;51607;59240;90651;82468;57131;34780
8;66211;67801;54377;56573;86449;26702;73390;87862;52126;79742;86816;65845;24528;85058;15734;86729;16040;70836;33400;83701;23869
9;69747;93009;68014;10583;61861;69899;75271;18922;15860;88163;88087;96131;87184;46547;2924;87907;82581;514;12886;81994;33511
10;22862;74350;90870;16075;112;81796;55618;83213;75663;50746;25868;638;19313;28703;8409;61692;32643;98118;55984;63181;11584
