id;player_id;tournament_id;course_id;hole_1;hole_2;hole_3;hole_4;hole_5;hole_6;hole_7;hole_8;hole_9;hole_10;hole_11;hole_12;hole_13;hole_14;hole_15;hole_16;hole_17;hole_18
1;28654;83893;59083;86040;3050;25025;3734;3883;82260;30326;36019;53708;12706;32665;52224;82786;76999;27154;21582;96525;62289
2;45726;8534;84202;5168;19438;53135;41135;54063;69951;63742;13835;72609;13274;97585;96953;51630;71459;32295;4106;79518;39882
3;27083;43352;43897;74404;7845;25086;2535;18433;96264;8087;83598;42831;69597;68849;40895;5819;17329;91521;15643;44235;25024
4;23978;54922;9387;71459;18286;66019;93461;27993;63827;95486;51669;73789;65711;55435;43567;61172;73003;41960;4771;24773;56603
5;35597;15864;75784;12016;1439;34187;11607;9179;4600;9415;4072;31141;85546;97951;70365;17533;47417;1716;9783;76336;49161
6;80691;47347;34630;17320;46467;43385;64977;39850;4805;61585;94914;63509;88668;4530;26089;37461;1530;62585;93343;50313;50103
7;85648;53937;65869;68396;16293;61585;7056;94389;64241;94425;2651;86719;58577;63640;94023;80094;57547;67716;38816;57336;64328
8;12850;45825;81120;54561;82063;94146;62593;38610;82042;96119;65148;90535;20668;19579;27396;6936;21458;10077;37725;1822;3896
9;9444;61825;68300;33655;7118;65572;31897;38539;84487;68161;2327;34062;81446;26069;28185;49603;11816;69289;69673;34833;62894
10;93664;87747;3918;73507;41794;80348;96758;28203;54797;17743;42347;75061;56852;80683;57592;99050;73164;41261;12768;37201;25001
