id;player_id;tournament_id;course_id;hole_1;hole_2;hole_3;hole_4;hole_5;hole_6;hole_7;hole_8;hole_9;hole_10;hole_11;hole_12;hole_13;hole_14;hole_15;hole_16;hole_17;hole_18
1;38929;83707;28869;43719;35567;91551;71904;72153;29712;61040;56640;94930;47605;39664;66367;95408;93682;13500;73257;48375;21494
2;26991;3118;53984;26226;16201;59507;84152;5142;84640;49636;95523;59684;15467;33424;62333;77091;47423;10659;34438;7513;35154
3;72818;41279;49549;70492;68840;59828;43482;45968;24640;7593;81910;7776;79941;233;69469;96769;27214;525;59023;10309;36097
4;31459;9158;80743;91731;96209;13681;79001;95023;69056;44600;52130;18513;8670;54190;95817;87294;75839;73222;63894;80656;75903
5;65878;72410;69227;63723;84919;98057;24966;90336;48942;64666;22120;69317;98766;5159;94405;66991;3942;4416;70557;58826;92524
6;99935;18057;55580;56794;47321;91548;31285;3394;12052;69742;73102;29734;19259;92439;11528;97105;42176;94426;79534;47421;74506
7;86204;5488;84454;45514;31910;52243;82891;64454;3700;65016;59626;36469;23000;56067;12056;48106;7695;88499;69628;53026;33987
8;44103;72476;40448;6535;57242;31529;80397;53949;53840;79072;66165;31875;73785;62589;52016;88597;42681;61586;87666;23295;41750
9;2440;46194;87009;99034;2126;23;87470;18547;52893;38396;93906;93258;79878;7002;99793;948;35071;5268;76718;8854;40193
10;3759;47987;47978;62750;58075;87367;27168;98408;39828;76827;9169;41776;33637;42135;52251;73758;73227;23877;334;11047;46731
