id;player_id;tournament_id;course_id;hole_1;hole_2;hole_3;hole_4;hole_5;hole_6;hole_7;hole_8;hole_9;hole_10;hole_11;hole_12;hole_13;hole_14;hole_15;hole_16;hole_17;hole_18
1;56484;58745;6570;29404;77552;71405;45328;52764;52439;53445;44076;48108;40076;49701;55964;76535;15524;10298;18192;33436;86178
2;7550;94611;75324;37330;27230;27074;89743;64399;52657;40873;80074;2538;97893;15615;83978;71597;86699;65892;40798;2709;55172
3;22197;25388;23107;19611;67189;50550;1971;59504;10410;33927;79991;56944;17854;88746;65274;55672;23818;72081;9944;80531;24317
4;98872;72226;60319;85569;80685;83021;96264;39718;94440;66808;14108;20498;40639;29314;32399;89633;8692;1300;63324;8550;73590
5;20788;84812;2653;12277;18143;87644;58304;64292;42142;70394;89267;91062;81744;62476;34181;33586;25942;82510;37969;36305;59029
6;3422;26806;83065;62414;34519;40941;77383;55204;36275;43612;86106;29446;21951;94845;97454;76360;77975;14011;11423;86846;56577
7;48743;98536;89455;47106;79985;18210;42521;48477;2246;51245;26867;74168;54163;69884;63347;40255;25788;21802;13935;64505;83493
8;42170;98440;13227;52569;90057;17167;69122;27230;68318;1839;82258;91429;52966;11775;81505;57651;49809;27405;6717;55417;40524
9;65142;49746;82974;72020;20642;10657;1099;14001;13688;26368;90001;26649;87389;73218;59741;25073;60051;63309;66503;49427;17537
10;57329;91441;83810;41877;40438;38313;77091;51891;42203;4696;35387;16628;95862;73803;18437;8279;9033;60315;77098;24534;6824
