id;player_id;tournament_id;course_id;hole_1;hole_2;hole_3;hole_4;hole_5;hole_6;hole_7;hole_8;hole_9;hole_10;hole_11;hole_12;hole_13;hole_14;hole_15;hole_16;hole_17;hole_18
1;33490;69371;13927;16673;79402;87862;62007;49542;53346;74146;89389;57315;78859;99769;15167;75240;31172;70698;24848;77857;74394
2;14312;3353;20454;56988;71406;76245;49398;87676;75463;34208;10291;82125;53648;11063;37882;84645;45700;12748;60395;39728;50228
3;79729;53986;14991;48635;22925;40895;72225;77188;72003;1220;64114;59844;69394;56550;54272;71617;25179;59902;34569;82679;18159
4;95907;90845;34252;58339;22735;40085;42359;46200;28792;94728;61495;15335;91185;58622;13911;50588;10079;61145;25601;1811;72609
5;87212;59296;93211;10221;56513;91875;69665;79008;92249;2302;70723;65136;15253;77124;57628;37443;60671;6892;42413;7732;73644
6;10424;93436;84043;92556;91068;45083;12281;11323;23590;98484;16552;83889;18632;12466;83749;92084;33214;86989;31144;51883;22739
7;59127;60789;39900;37930;5476;74424;33519;20557;80285;78778;463;60372;33349;11426;39816;41450;53739;86351;91985;92296;34634
8;46570;34695;48083;73750;91845;45221;58706;22460;3284;45243;91274;14085;24822;17638;57763;49836;16551;41892;3387;91484;31147
9;36239;78049;58058;27758;63226;22009;1309;21268;66353;51517;17803;97554;96107;45898;14866;55730;41462;86063;8534;53506;99687
10;18446;50219;29959;59538;30993;6707;39731;74996;42678;20990;79978;89805;34938;20513;46823;19068;62497;3654;37772;47206;83656
