id;name;season;start_date;end_date;purse;course_id;pga_id;pga_season_id;loaded
1;mobile Fish;77969;2020-01-11;2020-01-11;15601;44583;15599;9997;false
2;FTP Savings Account;70807;2020-01-11;2020-01-12;5641;96990;72199;83244;true
3;Electronics;99221;2020-01-12;2020-01-11;30424;61165;52475;706;false
4;intangible;61185;2020-01-11;2020-01-12;4666;29214;97375;36636;false
5;Licensed Savings Account;38246;2020-01-11;2020-01-11;59241;46676;4645;85994;true
6;Table Small Frozen Sausages Planner;80839;2020-01-11;2020-01-11;1596;9767;23089;68423;false
7;Bahamian Dollar Investment Account;83319;2020-01-12;2020-01-12;90932;39106;25877;18223;true
8;hardware Costa Rica Mayotte;18485;2020-01-12;2020-01-11;84228;77513;44975;93949;false
9;Communications capacitor archive;57044;2020-01-12;2020-01-11;4522;96117;32533;84453;false
10;interactive generating compelling;28093;2020-01-11;2020-01-11;27599;14092;29627;80219;false
