id;player_id;tournament_id;course_id;round_one_id;round_two_id;round_three_id;round_four_id
1;77641;58054;34080;86711;93075;56186;85841
2;23859;42899;67984;75087;73990;75454;23823
3;10312;37772;90255;53432;50525;49656;82645
4;38961;32004;29763;89552;9998;38920;5348
5;1083;95854;90538;84714;9128;35490;31931
6;95680;95006;67676;95060;48252;57343;49302
7;63183;8328;44844;9170;29321;60244;32866
8;55370;67251;21272;75237;94619;79157;78129
9;78961;11346;9120;93092;49442;97424;5755
10;99593;54952;5587;44153;73703;88770;54591
