Golfer,Odds,DK,Site Name,Site id,DK % +/-,FedEx,Events,Drive Acc,100-125,175-200,Drive Acc(2019),100-125(2019),175-200(2019),2019,2020,2019 top 30,2020 top 30,ranking,Proj,MaxPer,Owner
Justin Thomas,7,11800,Justin Thomas,13609604,0%,3,2,116,180,81,133,5,26,2,0,2,0,6,1000,10,
Rory McIlroy,8,11500,Rory McIlroy,13609605,0%,#N/A,#N/A,#N/A,#N/A,#N/A,104,86,1,1,0,1,0,3,1000,30,
Hideki Matsuyama,16,10700,Hideki Matsuyama,13609606,0%,23,3,44,190,150,114,16,26,2,1,2,0,7,125,20,
Xander Schauffele,20,10400,Xander Schauffele,13609607,0%,#N/A,#N/A,#N/A,#N/A,#N/A,127,99,23,1,0,1,0,3,,,
Paul Casey,22,10100,Paul Casey,13609608,0%,#N/A,#N/A,#N/A,#N/A,#N/A,33,12,32,3,0,1,0,5,1000,30,
Adam Scott,23,9900,Adam Scott,13609610,0%,82,2,208,24,154,135,8,37,2,1,1,1,7,125,20,
Jordan Spieth,23,10000,Jordan Spieth,13609609,0%,64,1,176,#N/A,#N/A,181,160,74,1,0,0,0,1,,,
Tommy Fleetwood,26,9800,Tommy Fleetwood,13609611,0%,106,1,20,#N/A,#N/A,73,160,65,2,1,0,1,5,125,10,
Gary Woodland,27,9500,Gary Woodland,13609613,10%,34,2,18,203,78,79,71,18,2,1,1,1,7,125,20,
Tony Finau,28,9200,Tony Finau,13609616,23%,71,1,28,148,1,167,172,10,1,2,1,2,9,1000,30,
Viktor Hovland,28,9400,Viktor Hovland,13609614,-9%,55,2,25,87,9,#N/A,#N/A,#N/A,0,2,0,2,6,125,20,
Patrick Reed,28,9600,Patrick Reed,13609612,-22%,#N/A,#N/A,#N/A,#N/A,#N/A,131,53,118,1,0,0,0,1,,,
Collin Morikawa,33,9100,Collin Morikawa,13609617,-7%,50,3,78,24,22,#N/A,#N/A,#N/A,0,2,0,2,6,100,10,
Jason Day,33,8900,Jason Day,13609619,13%,138,1,81,#N/A,#N/A,106,63,62,2,0,0,0,2,,,
Tiger Woods,33,9300,Tiger Woods,13609615,-8%,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,0,0,0,0,100,5,
Matthew Fitzpatrick,34,9000,Matthew Fitzpatrick,13609618,-7%,#N/A,#N/A,#N/A,#N/A,#N/A,52,155,37,2,0,0,0,2,,,
Sungjae Im,35,8800,Sungjae Im,13609620,0%,9,4,93,7,48,60,103,57,2,2,0,1,6,75,10,
Marc Leishman,41,8500,Marc Leishman,13609623,5%,22,3,175,2,120,140,141,4,1,1,1,1,6,75,10,
Rafa Cabrera Bello,41,8600,Rafa Cabrera Bello,13609622,5%,121,1,5,#N/A,#N/A,69,114,106,1,1,0,1,4,,,
Byeong Hun An,42,8700,Byeong Hun An,13609621,-11%,15,5,153,138,148,155,90,12,1,0,1,0,3,,,
Joaquin Niemann,44,8200,Joaquin Niemann,13609626,9%,5,4,135,81,25,108,34,26,2,1,1,1,7,75,20,
Louis Oosthuizen,46,8400,Louis Oosthuizen,13609624,-5%,#N/A,#N/A,#N/A,#N/A,#N/A,41,158,23,2,0,1,0,4,20,1,
